日期,分时,开盘,最高,最低,收盘
2020/1/2,9:31,3066.34,3070.92,3066.34,3070.58
2020/1/2,9:32,3069.72,3070.91,3069.68,3070.04
2020/1/2,9:33,3069.79,3072.9,3069.79,3072.9
2020/1/2,9:34,3072.48,3073.73,3072.48,3073.31
2020/1/2,9:35,3073.11,3073.58,3071.4,3072.04
2020/1/2,9:36,3070.97,3070.97,3070.22,3070.6
2020/1/2,9:37,3070.6,3074.16,3070.6,3074.12
2020/1/2,9:38,3074.78,3076.03,3074.78,3076.03
2020/1/2,9:39,3076.21,3076.21,3074.78,3075.44
2020/1/2,9:40,3074.63,3076.03,3074.22,3075.97
2020/1/2,9:41,3075.63,3076.39,3075.19,3075.2
2020/1/2,9:42,3075.11,3075.62,3074.59,3074.95
2020/1/2,9:43,3074.27,3074.81,3073.68,3074.33
2020/1/2,9:44,3074.15,3074.83,3073.42,3073.42
2020/1/2,9:45,3073.52,3073.52,3071.08,3071.12
2020/1/2,9:46,3071.14,3071.14,3070.05,3070.48
2020/1/2,9:47,3070.53,3071.24,3070.26,3070.61
2020/1/2,9:48,3071.15,3072.21,3070.69,3072.06
2020/1/2,9:49,3072.32,3072.92,3072.27,3072.36
2020/1/2,9:50,3072.47,3073.08,3072.24,3072.73
2020/1/2,9:51,3072.7,3074.18,3072.7,3074.15
2020/1/2,9:52,3074.21,3074.71,3073.8,3074.49
2020/1/2,9:53,3074.85,3076.24,3074.6,3075.94
2020/1/2,9:54,3076.01,3078.49,3075.89,3078.49
2020/1/2,9:55,3078.87,3081.87,3078.87,3081.87
2020/1/2,9:56,3081.97,3082.06,3080.62,3080.62
2020/1/2,9:57,3079.91,3081.55,3079.91,3080.43
2020/1/2,9:58,3080.53,3081.82,3080.26,3081.29
2020/1/2,9:59,3080.94,3081.61,3080.73,3081.07
2020/1/2,10:00,3081.96,3084.44,3081.69,3084.44
2020/1/2,10:01,3083.9,3085.1,3083.9,3084.98
2020/1/2,10:02,3084.63,3085.5,3084.04,3084.17
2020/1/2,10:03,3084.38,3084.77,3084.03,3084.36
2020/1/2,10:04,3084.92,3087.71,3084.71,3087.05
2020/1/2,10:05,3086.96,3087.77,3086.96,3087.6
2020/1/2,10:06,3088.24,3089.15,3088.24,3088.67
2020/1/2,10:07,3088.01,3088.84,3088.01,3088.84
2020/1/2,10:08,3088.43,3089.16,3088.43,3089.04
2020/1/2,10:09,3088.99,3089,3087.3,3087.56
2020/1/2,10:10,3086.78,3087.27,3086.01,3086.01
2020/1/2,10:11,3086.28,3087.95,3086,3087.19
2020/1/2,10:12,3087.93,3088.06,3087.26,3087.4
2020/1/2,10:13,3088.02,3088.28,3087.13,3088.07
2020/1/2,10:14,3087.81,3089.04,3087.63,3088.4
2020/1/2,10:15,3088.56,3089.1,3088.12,3088.44
2020/1/2,10:16,3088.25,3088.76,3087.8,3088.05
2020/1/2,10:17,3087.06,3088.8,3087.06,3088.18
2020/1/2,10:18,3088.52,3088.95,3087.77,3087.78
2020/1/2,10:19,3088.13,3088.13,3087.31,3087.75
2020/1/2,10:20,3087.34,3087.38,3086.33,3086.33
2020/1/2,10:21,3086.38,3086.75,3085.46,3085.46
2020/1/2,10:22,3086.01,3087.06,3085.81,3086.73
2020/1/2,10:23,3087.72,3087.99,3086.91,3087.55
2020/1/2,10:24,3088.11,3088.15,3087.53,3087.86
2020/1/2,10:25,3089.35,3089.35,3087.82,3089.1
2020/1/2,10:26,3089.76,3090.33,3089.34,3090.1
2020/1/2,10:27,3090.38,3091.74,3090.38,3091.74
2020/1/2,10:28,3091.67,3092.94,3091.67,3092.94
2020/1/2,10:29,3093.04,3093.87,3092.8,3093.56
2020/1/2,10:30,3093.89,3093.93,3092.42,3092.42
2020/1/2,10:31,3092.43,3092.98,3092.43,3092.69
2020/1/2,10:32,3092.7,3092.93,3092.37,3092.73
2020/1/2,10:33,3092.31,3093.02,3092.23,3092.63
2020/1/2,10:34,3092.76,3092.85,3092.08,3092.08
2020/1/2,10:35,3092.2,3092.61,3092.01,3092.42
2020/1/2,10:36,3092.95,3095.03,3092.95,3094.73
2020/1/2,10:37,3094.76,3095.29,3094.51,3094.92
2020/1/2,10:38,3095.08,3095.36,3094.28,3094.52
2020/1/2,10:39,3094.67,3095.55,3094.15,3094.18
2020/1/2,10:40,3095.12,3095.31,3094.51,3095.31
2020/1/2,10:41,3095.23,3096.23,3095.12,3096.18
2020/1/2,10:42,3096.22,3097.14,3095.87,3097.14
2020/1/2,10:43,3097.99,3097.99,3096.51,3096.54
2020/1/2,10:44,3096.9,3097.85,3096.49,3097.2
2020/1/2,10:45,3097.16,3097.87,3096.92,3097.24
2020/1/2,10:46,3097.09,3098.1,3097.09,3097.74
2020/1/2,10:47,3097.7,3097.7,3094.53,3094.53
2020/1/2,10:48,3094.08,3094.14,3092.26,3092.26
2020/1/2,10:49,3092.1,3092.31,3090.98,3091.02
2020/1/2,10:50,3090.71,3090.96,3088.99,3088.99
2020/1/2,10:51,3088.96,3089.46,3088.66,3088.94
2020/1/2,10:52,3089.17,3091.58,3089.17,3090.52
2020/1/2,10:53,3090.5,3091.36,3090.47,3090.57
2020/1/2,10:54,3090.59,3090.86,3089.95,3090.25
2020/1/2,10:55,3090.99,3090.99,3089.3,3089.86
2020/1/2,10:56,3089.4,3090.28,3089.33,3089.67
2020/1/2,10:57,3089.21,3090.01,3089.21,3089.69
2020/1/2,10:58,3089.7,3092.07,3089.7,3092.07
2020/1/2,10:59,3091.01,3092.85,3091.01,3092.85
2020/1/2,11:00,3092.47,3093.23,3092.16,3093.04
2020/1/2,11:01,3093.32,3093.77,3092.86,3093.6
2020/1/2,11:02,3092.97,3094.94,3092.97,3094.12
2020/1/2,11:03,3094.32,3095.44,3093.92,3095.44
2020/1/2,11:04,3095.38,3095.62,3094.35,3094.52
2020/1/2,11:05,3095.38,3095.38,3094.12,3094.7
2020/1/2,11:06,3094.23,3094.23,3092.62,3092.77
2020/1/2,11:07,3092.75,3092.88,3091.86,3091.86
2020/1/2,11:08,3092.17,3092.24,3091.43,3092.24
2020/1/2,11:09,3091.99,3091.99,3091.22,3091.22
2020/1/2,11:10,3091.61,3092.21,3091.37,3091.89
2020/1/2,11:11,3092.71,3093.59,3092.28,3093.59
2020/1/2,11:12,3093.01,3094.45,3093.01,3093.33
2020/1/2,11:13,3093.38,3094.44,3093.38,3094.09
2020/1/2,11:14,3095.04,3095.04,3093.98,3093.98
2020/1/2,11:15,3094.61,3095.25,3094.01,3094.42
2020/1/2,11:16,3094.37,3095.44,3094.35,3094.65
2020/1/2,11:17,3095.05,3095.6,3094.33,3094.89
2020/1/2,11:18,3094.72,3095.34,3094.58,3094.61
2020/1/2,11:19,3094.93,3095.83,3094.42,3095.5
2020/1/2,11:20,3095.03,3095.57,3094.75,3095.34
2020/1/2,11:21,3094.79,3095.67,3094.37,3094.63
2020/1/2,11:22,3094.6,3094.6,3091.99,3091.99
2020/1/2,11:23,3092.07,3092.56,3091.77,3092.05
2020/1/2,11:24,3092,3092,3090.23,3091.03
2020/1/2,11:25,3090.2,3090.41,3089.36,3089.56
2020/1/2,11:26,3089.08,3089.57,3088.95,3089.38
2020/1/2,11:27,3088.98,3089.28,3087.72,3087.87
2020/1/2,11:28,3088.04,3088.04,3086.94,3087.13
2020/1/2,11:29,3087.35,3087.78,3086.71,3087.22
2020/1/2,11:30,3086.95,3087.57,3086.93,3087.16
2020/1/2,13:01,3087.21,3089.04,3087.21,3088.91
2020/1/2,13:02,3089.04,3089.63,3088.59,3088.59
2020/1/2,13:03,3089.13,3089.54,3088.38,3088.44
2020/1/2,13:04,3088.39,3088.5,3087.65,3088.5
2020/1/2,13:05,3088.27,3089.79,3088.27,3089.18
2020/1/2,13:06,3088.68,3089.44,3088.63,3088.74
2020/1/2,13:07,3089.09,3089.24,3088.32,3088.45
2020/1/2,13:08,3088.84,3089.18,3088.51,3088.68
2020/1/2,13:09,3089.25,3089.51,3088.59,3088.66
2020/1/2,13:10,3088.93,3089,3088,3088
2020/1/2,13:11,3087.65,3088.03,3085.74,3085.74
2020/1/2,13:12,3085.92,3086.28,3085.36,3085.36
2020/1/2,13:13,3085.95,3085.99,3084.41,3084.9
2020/1/2,13:14,3084.51,3085.13,3084.5,3084.62
2020/1/2,13:15,3085.2,3085.2,3082.91,3083.32
2020/1/2,13:16,3083.34,3083.55,3082.74,3083.16
2020/1/2,13:17,3082.86,3083.95,3082.86,3083.76
2020/1/2,13:18,3083.8,3084.3,3083.58,3084.01
2020/1/2,13:19,3084.24,3084.49,3083.53,3084.05
2020/1/2,13:20,3083.53,3084.74,3083.53,3084.56
2020/1/2,13:21,3084.81,3084.88,3084.31,3084.31
2020/1/2,13:22,3084.77,3084.77,3084.06,3084.65
2020/1/2,13:23,3084.7,3085.01,3084.3,3084.63
2020/1/2,13:24,3085.12,3085.12,3084.4,3085.12
2020/1/2,13:25,3084.81,3085.66,3084.49,3085.19
2020/1/2,13:26,3084.99,3086.05,3084.94,3085.6
2020/1/2,13:27,3085.19,3085.72,3084.97,3084.97
2020/1/2,13:28,3085.68,3085.71,3084.38,3084.46
2020/1/2,13:29,3084.67,3084.87,3083.98,3084.59
2020/1/2,13:30,3084.56,3084.56,3083.3,3083.31
2020/1/2,13:31,3083.68,3083.78,3083,3083.59
2020/1/2,13:32,3083.6,3083.6,3082.54,3082.59
2020/1/2,13:33,3082.61,3083.27,3082.51,3082.55
2020/1/2,13:34,3083.29,3083.29,3082.61,3083.16
2020/1/2,13:35,3082.86,3083.22,3082.32,3082.32
2020/1/2,13:36,3083.01,3083.35,3082.07,3082.59
2020/1/2,13:37,3082.58,3083.5,3082.48,3083.5
2020/1/2,13:38,3083.22,3084.6,3083.14,3084
2020/1/2,13:39,3084.45,3084.85,3083.93,3084.19
2020/1/2,13:40,3084.49,3084.81,3084.27,3084.81
2020/1/2,13:41,3084.59,3085.7,3084.49,3084.85
2020/1/2,13:42,3085.03,3085.57,3084.75,3085.57
2020/1/2,13:43,3085.25,3085.98,3085.08,3085.08
2020/1/2,13:44,3085.3,3086,3084.81,3085.55
2020/1/2,13:45,3085.63,3086.75,3085.63,3086.26
2020/1/2,13:46,3086.6,3086.63,3085.82,3085.9
2020/1/2,13:47,3086.01,3086.68,3086.01,3086.3
2020/1/2,13:48,3086.77,3087.06,3086.41,3086.41
2020/1/2,13:49,3086.6,3087.2,3086.54,3087.13
2020/1/2,13:50,3086.36,3087.36,3086.36,3087.17
2020/1/2,13:51,3087.66,3089.18,3087.66,3088.85
2020/1/2,13:52,3089.24,3089.93,3089.24,3089.75
2020/1/2,13:53,3089.94,3090.37,3088.71,3089.06
2020/1/2,13:54,3088.71,3089.31,3088.27,3088.52
2020/1/2,13:55,3088.5,3088.9,3088.5,3088.51
2020/1/2,13:56,3088.71,3089.18,3088.43,3088.65
2020/1/2,13:57,3088.62,3089.56,3088.13,3088.13
2020/1/2,13:58,3088.97,3089.1,3087.92,3088.85
2020/1/2,13:59,3088.57,3090.06,3088.54,3090.06
2020/1/2,14:00,3089.65,3090.77,3089.29,3090.77
2020/1/2,14:01,3090.35,3090.84,3090.18,3090.74
2020/1/2,14:02,3091,3091.21,3090.32,3090.99
2020/1/2,14:03,3091.19,3091.31,3090.36,3090.36
2020/1/2,14:04,3090.68,3090.68,3089.08,3089.43
2020/1/2,14:05,3088.94,3089.73,3088.84,3089.29
2020/1/2,14:06,3089.02,3089.44,3088.55,3089.42
2020/1/2,14:07,3088.85,3089.43,3088.21,3088.78
2020/1/2,14:08,3088.37,3088.66,3087.91,3088.2
2020/1/2,14:09,3087.78,3087.98,3087.18,3087.37
2020/1/2,14:10,3087.52,3087.52,3086.4,3086.4
2020/1/2,14:11,3086.69,3086.69,3085.5,3085.58
2020/1/2,14:12,3085.48,3085.98,3084.94,3085.79
2020/1/2,14:13,3085.46,3085.9,3084.73,3085.4
2020/1/2,14:14,3084.98,3085.2,3084.49,3085.06
2020/1/2,14:15,3085.1,3085.48,3084.36,3084.69
2020/1/2,14:16,3085.22,3085.22,3084.34,3084.61
2020/1/2,14:17,3085.09,3085.23,3084.38,3084.62
2020/1/2,14:18,3084.63,3085.44,3084.43,3085.44
2020/1/2,14:19,3085.68,3085.9,3084.96,3085.47
2020/1/2,14:20,3085.72,3085.96,3084.87,3085.85
2020/1/2,14:21,3085.4,3085.72,3085.22,3085.22
2020/1/2,14:22,3085.06,3085.48,3084.75,3085.38
2020/1/2,14:23,3084.96,3085.44,3084.83,3084.83
2020/1/2,14:24,3085.51,3085.73,3084.89,3085.41
2020/1/2,14:25,3085,3087.33,3084.66,3087.33
2020/1/2,14:26,3087.27,3087.88,3086.98,3087.72
2020/1/2,14:27,3087.86,3087.9,3087.13,3087.13
2020/1/2,14:28,3087.54,3087.64,3085.41,3085.41
2020/1/2,14:29,3085.91,3086.55,3085.9,3086.55
2020/1/2,14:30,3086.2,3086.79,3085.95,3086.11
2020/1/2,14:31,3086.3,3086.79,3085.76,3086.79
2020/1/2,14:32,3086.92,3087,3086.23,3086.97
2020/1/2,14:33,3087.06,3087.74,3086.72,3087.02
2020/1/2,14:34,3086.92,3087.88,3086.92,3087.88
2020/1/2,14:35,3087.62,3087.99,3087.05,3087.2
2020/1/2,14:36,3087.92,3087.92,3086.95,3087.11
2020/1/2,14:37,3087.19,3087.52,3086.75,3086.75
2020/1/2,14:38,3087.7,3087.7,3086.78,3087.23
2020/1/2,14:39,3087.23,3087.4,3086.67,3087.15
2020/1/2,14:40,3086.77,3086.91,3085.88,3085.88
2020/1/2,14:41,3086.49,3086.53,3085.19,3085.4
2020/1/2,14:42,3084.97,3085.87,3084.31,3084.35
2020/1/2,14:43,3084.75,3084.75,3083.81,3084.51
2020/1/2,14:44,3084.49,3084.77,3083.9,3084.07
2020/1/2,14:45,3084.45,3084.51,3083.55,3083.83
2020/1/2,14:46,3084.15,3084.86,3083.64,3084.51
2020/1/2,14:47,3084.61,3084.61,3084,3084.26
2020/1/2,14:48,3083.86,3084.4,3083.12,3083.12
2020/1/2,14:49,3083.92,3084.12,3083.22,3083.79
2020/1/2,14:50,3084,3084,3083.09,3083.61
2020/1/2,14:51,3083.48,3083.8,3083.29,3083.32
2020/1/2,14:52,3083.52,3084.7,3083.52,3084.22
2020/1/2,14:53,3084.54,3084.54,3083.89,3083.89
2020/1/2,14:54,3084.24,3084.63,3083.99,3084.63
2020/1/2,14:55,3084.3,3084.84,3084.02,3084.84
2020/1/2,14:56,3083.98,3084.82,3083.98,3084.45
2020/1/2,14:57,3084.85,3085.1,3084.5,3084.8
2020/1/2,14:58,3085.12,3085.12,3085.02,3085.02
2020/1/2,14:59,3085.02,3085.02,3085.02,3085.02
2020/1/2,15:00,3084.98,3085.2,3084.98,3085.2
